age_group,state,gender,break_year,slope1,slope2,mean_last_5_years
55-64 years,Alabama,Female,2010,-0.011222328623967357,0.006582034448677016,0.5652974025001871
55-64 years,Alabama,Male,2008,-0.028192987182308844,0.007293972136395502,1.1694694213638746
55-64 years,Alabama,Total,2008,-0.02069224272047738,0.006291237835034626,0.8568733881514078
55-64 years,Alaska,Female,2009,-0.012009155497544364,0.006331935938801221,0.2939068792574294
55-64 years,Alaska,Male,2006,-0.02887076391551709,0.009289913354315348,0.728062130398982
55-64 years,Alaska,Total,2006,-0.024127682362452687,0.006674196030456932,0.5213303986555123
55-64 years,Arizona,Female,2010,-0.011802305489983263,0.0017116270220793456,0.25717284227861364
55-64 years,Arizona,Male,2010,-0.02218357294677704,-0.0016692069814024692,0.6690765775881429
55-64 years,Arizona,Total,2010,-0.0168817116833875,0.00043302298234858955,0.4577410468276909
55-64 years,Arkansas,Female,2008,-0.01208903967646715,0.008493456278418231,0.554410060633281
55-64 years,Arkansas,Male,2007,-0.024227754241860796,0.009441831081874085,1.1640609327045437
55-64 years,Arkansas,Total,2007,-0.018937500458061106,0.008801676778900147,0.852407421301768
55-64 years,California,Female,2009,-0.014758038789958374,-0.001123099148068324,0.21878943034658277
55-64 years,California,Male,2010,-0.023613345942715268,-0.0015015840085116985,0.5989795643386481
55-64 years,California,Total,2010,-0.018478447564031397,-0.0006749211153789583,0.40732145690289956
55-64 years,Colorado,Female,2006,-0.012047370885874634,-0.0002751368134779452,0.19814551987424206
55-64 years,Colorado,Male,2006,-0.027813111970341517,0.0005011930086856672,0.5108076951867655
55-64 years,Colorado,Total,2006,-0.01988588821782504,0.00010994420843684488,0.3531458486984672
55-64 years,Connecticut,Female,2007,-0.019164350450277735,-0.0004493193817535143,0.2104064675499663
55-64 years,Connecticut,Male,2006,-0.046076631565868414,-0.0015124045181875226,0.5362215734710681
55-64 years,Connecticut,Total,2006,-0.03336049732112085,-0.0010994192345207612,0.36891199809289227
55-64 years,Delaware,Female,2011,-0.01368452953339548,0.0021894155947603123,0.2944263792200015
