"Notes","Ten-Year Age Groups","Ten-Year Age Groups Code","State","State Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"55-64 years","55-64","Alabama","01","1999","1999","Female","F",55,216486,25.4
,"55-64 years","55-64","Alabama","01","1999","1999","Male","M",75,194056,38.6
,"55-64 years","55-64","Alabama","01","2000","2000","Female","F",47,218838,21.5
,"55-64 years","55-64","Alabama","01","2000","2000","Male","M",78,196694,39.7
,"55-64 years","55-64","Alabama","01","2001","2001","Female","F",63,223539,28.2
,"55-64 years","55-64","Alabama","01","2001","2001","Male","M",84,201485,41.7
,"55-64 years","55-64","Alabama","01","2002","2002","Female","F",64,234530,27.3
,"55-64 years","55-64","Alabama","01","2002","2002","Male","M",81,212993,38.0
,"55-64 years","55-64","Alabama","01","2003","2003","Female","F",64,243415,26.3
,"55-64 years","55-64","Alabama","01","2003","2003","Male","M",89,222255,40.0
,"55-64 years","55-64","Alabama","01","2004","2004","Female","F",64,253296,25.3
,"55-64 years","55-64","Alabama","01","2004","2004","Male","M",99,232067,42.7
,"55-64 years","55-64","Alabama","01","2005","2005","Female","F",75,263210,28.5
,"55-64 years","55-64","Alabama","01","2005","2005","Male","M",101,241277,41.9
,"55-64 years","55-64","Alabama","01","2006","2006","Female","F",68,273519,24.9
,"55-64 years","55-64","Alabama","01","2006","2006","Male","M",106,250793,42.3
,"55-64 years","55-64","Alabama","01","2007","2007","Female","F",70,282783,24.8
,"55-64 years","55-64","Alabama","01","2007","2007","Male","M",80,259292,30.9
,"55-64 years","55-64","Alabama","01","2008","2008","Female","F",61,290035,21.0
,"55-64 years","55-64","Alabama","01","2008","2008","Male","M",93,266305,34.9
,"55-64 years","55-64","Alabama","01","2009","2009","Female","F",62,298994,20.7
,"55-64 years","55-64","Alabama","01","2009","2009","Male","M",96,273893,35.1
,"55-64 years","55-64","Alabama","01","2010","2010","Female","F",61,306797,19.9
,"55-64 years","55-64","Alabama","01","2010","2010","Male","M",111,281236,39.5
,"55-64 years","55-64","Alabama","01","2011","2011","Female","F",65,318639,20.4
,"55-64 years","55-64","Alabama","01","2011","2011","Male","M",110,291585,37.7
,"55-64 years","55-64","Alabama","01","2012","2012","Female","F",70,321543,21.8
,"55-64 years","55-64","Alabama","01","2012","2012","Male","M",123,293865,41.9
,"55-64 years","55-64","Alabama","01","2013","2013","Female","F",80,325850,24.6
,"55-64 years","55-64","Alabama","01","2013","2013","Male","M",108,296949,36.4
,"55-64 years","55-64","Alabama","01","2014","2014","Female","F",70,329505,21.2
,"55-64 years","55-64","Alabama","01","2014","2014","Male","M",140,299971,46.7
,"55-64 years","55-64","Alabama","01","2015","2015","Female","F",77,334123,23.0
,"55-64 years","55-64","Alabama","01","2015","2015","Male","M",135,303874,44.4
,"55-64 years","55-64","Alabama","01","2016","2016","Female","F",78,337993,23.1
,"55-64 years","55-64","Alabama","01","2016","2016","Male","M",146,307099,47.5
,"55-64 years","55-64","Alabama","01","2017","2017","Female","F",82,341133,24.0
,"55-64 years","55-64","Alabama","01","2017","2017","Male","M",154,309412,49.8
,"55-64 years","55-64","Alabama","01","2018","2018","Female","F",74,343624,21.5
,"55-64 years","55-64","Alabama","01","2018","2018","Male","M",125,311555,40.1
,"55-64 years","55-64","Alabama","01","2019","2019","Female","F",91,344792,26.4
,"55-64 years","55-64","Alabama","01","2019","2019","Male","M",140,312875,44.7
,"55-64 years","55-64","Alabama","01","2020","2020","Female","F",117,344359,34.0
,"55-64 years","55-64","Alabama","01","2020","2020","Male","M",164,312922,52.4
,"55-64 years","55-64","Alaska","02","1999","1999","Female","F",0,20168,Unreliable
,"55-64 years","55-64","Alaska","02","1999","1999","Male","M",Suppressed,23173,Suppressed
,"55-64 years","55-64","Alaska","02","2000","2000","Female","F",0,20844,Unreliable
,"55-64 years","55-64","Alaska","02","2000","2000","Male","M",Suppressed,23906,Suppressed
,"55-64 years","55-64","Alaska","02","2001","2001","Female","F",Suppressed,22200,Suppressed
,"55-64 years","55-64","Alaska","02","2001","2001","Male","M",0,25443,Unreliable
,"55-64 years","55-64","Alaska","02","2002","2002","Female","F",Suppressed,24370,Suppressed
,"55-64 years","55-64","Alaska","02","2002","2002","Male","M",Suppressed,28058,Suppressed
,"55-64 years","55-64","Alaska","02","2003","2003","Female","F",Suppressed,26162,Suppressed
,"55-64 years","55-64","Alaska","02","2003","2003","Male","M",Suppressed,30106,Suppressed
,"55-64 years","55-64","Alaska","02","2004","2004","Female","F",Suppressed,28370,Suppressed
