"Notes","Ten-Year Age Groups","Ten-Year Age Groups Code","Residence State","Residence State Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"55-64 years","55-64","Alabama","01","2021","2021","Female","F",130,348142,37.3,30.9,43.8
,"55-64 years","55-64","Alabama","01","2021","2021","Male","M",171,324231,52.7,44.8,60.6
,"55-64 years","55-64","Alabama","01","2022","2022","Female","F",112,339944,32.9,26.8,39.0
,"55-64 years","55-64","Alabama","01","2022","2022","Male","M",205,318486,64.4,55.6,73.2
,"55-64 years","55-64","Alabama","01","2023","2023","Female","F",103,338419,30.4,24.6,36.3
,"55-64 years","55-64","Alabama","01","2023","2023","Male","M",177,315647,56.1,47.8,64.3
,"55-64 years","55-64","Alabama","01","2024","2024","Female","F",111,336308,33.0,26.9,39.1
,"55-64 years","55-64","Alabama","01","2024","2024","Male","M",189,313480,60.3,51.7,68.9
,"55-64 years","55-64","Alabama","01","2025 (provisional)","2025","Female","F",124,336308,36.9,30.4,43.4
,"55-64 years","55-64","Alabama","01","2025 (provisional)","2025","Male","M",182,313480,58.1,49.6,66.5
,"55-64 years","55-64","Alaska","02","2021","2021","Female","F",Suppressed,43150,Suppressed,Suppressed,Suppressed
,"55-64 years","55-64","Alaska","02","2021","2021","Male","M",Suppressed,47226,Suppressed,Suppressed,Suppressed
,"55-64 years","55-64","Alaska","02","2022","2022","Female","F",Suppressed,41431,Suppressed,Suppressed,Suppressed
,"55-64 years","55-64","Alaska","02","2022","2022","Male","M",10,45810,21.8,10.5,40.1
,"55-64 years","55-64","Alaska","02","2023","2023","Female","F",Suppressed,40587,Suppressed,Suppressed,Suppressed
,"55-64 years","55-64","Alaska","02","2023","2023","Male","M",Suppressed,44577,Suppressed,Suppressed,Suppressed
,"55-64 years","55-64","Alaska","02","2024","2024","Female","F",Suppressed,39767,Suppressed,Suppressed,Suppressed
,"55-64 years","55-64","Alaska","02","2024","2024","Male","M",10,43769,22.8,11.0,42.0
,"55-64 years","55-64","Alaska","02","2025 (provisional)","2025","Female","F",Suppressed,39767,Suppressed,Suppressed,Suppressed
,"55-64 years","55-64","Alaska","02","2025 (provisional)","2025","Male","M",Suppressed,43769,Suppressed,Suppressed,Suppressed
,"55-64 years","55-64","Arizona","04","2021","2021","Female","F",33,452647,7.3,5.0,10.2
,"55-64 years","55-64","Arizona","04","2021","2021","Male","M",79,427238,18.5,14.6,23.0
,"55-64 years","55-64","Arizona","04","2022","2022","Female","F",41,446674,9.2,6.6,12.5
,"55-64 years","55-64","Arizona","04","2022","2022","Male","M",104,425289,24.5,19.8,29.2
,"55-64 years","55-64","Arizona","04","2023","2023","Female","F",51,451318,11.3,8.4,14.9
,"55-64 years","55-64","Arizona","04","2023","2023","Male","M",88,428260,20.5,16.5,25.3
,"55-64 years","55-64","Arizona","04","2024","2024","Female","F",33,451811,7.3,5.0,10.3
,"55-64 years","55-64","Arizona","04","2024","2024","Male","M",85,429219,19.8,15.8,24.5
,"55-64 years","55-64","Arizona","04","2025 (provisional)","2025","Female","F",43,451811,9.5,6.9,12.8
,"55-64 years","55-64","Arizona","04","2025 (provisional)","2025","Male","M",83,429219,19.3,15.4,24.0
,"55-64 years","55-64","Arkansas","05","2021","2021","Female","F",48,196927,24.4,18.0,32.3
,"55-64 years","55-64","Arkansas","05","2021","2021","Male","M",61,187969,32.5,24.8,41.7
,"55-64 years","55-64","Arkansas","05","2022","2022","Female","F",59,193058,30.6,23.3,39.4
,"55-64 years","55-64","Arkansas","05","2022","2022","Male","M",84,185254,45.3,36.2,56.1
,"55-64 years","55-64","Arkansas","05","2023","2023","Female","F",65,191999,33.9,26.1,43.2
,"55-64 years","55-64","Arkansas","05","2023","2023","Male","M",95,183592,51.7,41.9,63.3
,"55-64 years","55-64","Arkansas","05","2024","2024","Female","F",53,190581,27.8,20.8,36.4
,"55-64 years","55-64","Arkansas","05","2024","2024","Male","M",91,181945,50.0,40.3,61.4
,"55-64 years","55-64","Arkansas","05","2025 (provisional)","2025","Female","F",55,190581,28.9,21.7,37.6
,"55-64 years","55-64","Arkansas","05","2025 (provisional)","2025","Male","M",79,181945,43.4,34.4,54.1
,"55-64 years","55-64","California","06","2021","2021","Female","F",215,2411891,8.9,7.7,10.1
,"55-64 years","55-64","California","06","2021","2021","Male","M",560,2365841,23.7,21.7,25.6
,"55-64 years","55-64","California","06","2022","2022","Female","F",259,2357156,11.0,9.6,12.3
,"55-64 years","55-64","California","06","2022","2022","Male","M",497,2330153,21.3,19.5,23.2
,"55-64 years","55-64","California","06","2023","2023","Female","F",242,2358266,10.3,9.0,11.6
,"55-64 years","55-64","California","06","2023","2023","Male","M",533,2318062,23.0,21.0,24.9
,"55-64 years","55-64","California","06","2024","2024","Female","F",237,2358271,10.0,8.8,11.3
,"55-64 years","55-64","California","06","2024","2024","Male","M",532,2319014,22.9,21.0,24.9
,"55-64 years","55-64","California","06","2025 (provisional)","2025","Female","F",214,2358271,9.1,7.9,10.3
,"55-64 years","55-64","California","06","2025 (provisional)","2025","Male","M",519,2319014,22.4,20.5,24.3
,"55-64 years","55-64","Colorado","08","2021","2021","Female","F",22,354867,6.2,3.9,9.4
,"55-64 years","55-64","Colorado","08","2021","2021","Male","M",48,347352,13.8,10.2,18.3
,"55-64 years","55-64","Colorado","08","2022","2022","Female","F",18,344628,5.2,3.1,8.3
,"55-64 years","55-64","Colorado","08","2022","2022","Male","M",50,339228,14.7,10.9,19.4
,"55-64 years","55-64","Colorado","08","2023","2023","Female","F",20,341432,5.9,3.6,9.0
,"55-64 years","55-64","Colorado","08","2023","2023","Male","M",47,335193,14.0,10.3,18.6
,"55-64 years","55-64","Colorado","08","2024","2024","Female","F",26,338004,7.7,5.0,11.3
,"55-64 years","55-64","Colorado","08","2024","2024","Male","M",46,333541,13.8,10.1,18.4
,"55-64 years","55-64","Colorado","08","2025 (provisional)","2025","Female","F",28,338004,8.3,5.5,12.0
,"55-64 years","55-64","Colorado","08","2025 (provisional)","2025","Male","M",34,333541,10.2,7.1,14.2
,"55-64 years","55-64","Connecticut","09","2021","2021","Female","F",14,266703,5.2,2.9,8.8
,"55-64 years","55-64","Connecticut","09","2021","2021","Male","M",34,254289,13.4,9.3,18.7
,"55-64 years","55-64","Connecticut","09","2022","2022","Female","F",20,264509,7.6,4.6,11.7
,"55-64 years","55-64","Connecticut","09","2022","2022","Male","M",29,251227,11.5,7.7,16.6
,"55-64 years","55-64","Connecticut","09","2023","2023","Female","F",20,260500,7.7,4.7,11.9
,"55-64 years","55-64","Connecticut","09","2023","2023","Male","M",36,246341,14.6,10.2,20.2
,"55-64 years","55-64","Connecticut","09","2024","2024","Female","F",23,258404,8.9,5.6,13.4
,"55-64 years","55-64","Connecticut","09","2024","2024","Male","M",28,243674,11.5,7.6,16.6
,"55-64 years","55-64","Connecticut","09","2025 (provisional)","2025","Female","F",25,258404,9.7,6.3,14.3
,"55-64 years","55-64","Connecticut","09","2025 (provisional)","2025","Male","M",32,243674,13.1,9.0,18.5
