age_group,state,gender,break_year,slope1,slope2,mean_last_5_years
65-74 years,Alabama,Female,2010,-0.05502386067071282,0.00791137542429312,1.152055133600776
65-74 years,Alabama,Male,2008,-0.11941129055593137,0.010818778542684218,2.1777527574739777
65-74 years,Alabama,Total,2008,-0.08780249044686601,0.006732543391345769,1.6260147597704844
65-74 years,Alaska,Female,2012,-0.04476485856510849,0.007326389870202933,0.6238705033033867
65-74 years,Alaska,Male,2010,-0.08196345684137275,-8.467112150745137e-06,1.2770103907975758
65-74 years,Alaska,Total,2010,-0.06468806031125415,0.00021168738417084998,0.957975668828032
65-74 years,Arizona,Female,2011,-0.04562654243152002,0.005958907686370356,0.6118519634768512
65-74 years,Arizona,Male,2009,-0.0981991965969824,0.008836748929001784,1.3768104961555039
65-74 years,Arizona,Total,2010,-0.06803209823920749,0.007379576426925674,0.9699129371551571
65-74 years,Arkansas,Female,2009,-0.05011786966867855,0.008292456705819705,1.101962407246492
65-74 years,Arkansas,Male,2007,-0.12528853378531743,0.015614405340716286,2.180892347384058
65-74 years,Arkansas,Total,2007,-0.08809527149103193,0.009247793454299297,1.60719878179053
65-74 years,California,Female,2011,-0.05199269064538478,-0.0033242482350655522,0.5745275763849061
65-74 years,California,Male,2010,-0.09118687995953387,0.0007279302737957238,1.2784365478384339
65-74 years,California,Total,2010,-0.07107064691365081,-0.002307513444626874,0.9064898269475836
65-74 years,Colorado,Female,2009,-0.049037834373366986,-0.0009184518464121355,0.5140254974698137
65-74 years,Colorado,Male,2010,-0.0746327700402689,0.005019027138949583,1.068803815071186
65-74 years,Colorado,Total,2010,-0.05817923852011662,0.00283852194909677,0.7803001981567139
65-74 years,Connecticut,Female,2008,-0.05736034526052855,-0.00572295642760412,0.5236828404604525
65-74 years,Connecticut,Male,2008,-0.12486269926710121,-0.005341596998323955,1.105855002198166
65-74 years,Connecticut,Total,2008,-0.08701702912556564,-0.005083779162596669,0.7987723322687901
65-74 years,Delaware,Female,2008,-0.0785566244181312,-0.004750934901305237,0.6376624941133795
65-74 years,Delaware,Male,2009,-0.11648263873765928,-0.0014156149027103465,1.3622627255978421
65-74 years,Delaware,Total,2009,-0.09213641555773806,-0.002128238755699896,0.9733739784134439
65-74 years,District of Columbia,Female,2013,-0.05743422199811669,-0.005108569985629287,1.1100312567302981
65-74 years,District of Columbia,Male,2011,-0.09058621338897233,-0.0021155181417280844,2.314273739196312
65-74 years,District of Columbia,Total,2012,-0.06945673430634088,-0.004429481260391027,1.6393601103099122
65-74 years,Florida,Female,2009,-0.053537609001131366,0.0004204802634700175,0.6102576604267582
65-74 years,Florida,Male,2009,-0.09313211909318411,0.004091601103918027,1.328819739467264
65-74 years,Florida,Total,2009,-0.07141940122746088,0.0018921610769205566,0.9437928553263732
65-74 years,Georgia,Female,2010,-0.07156554967270538,0.006177738507480018,0.9222019073488438
