"Notes","Ten-Year Age Groups","Ten-Year Age Groups Code","State","State Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"55-64 years","55-64","Alabama","01","1999","1999","Female","F",271,216486,125.2
,"55-64 years","55-64","Alabama","01","1999","1999","Male","M",603,194056,310.7
,"55-64 years","55-64","Alabama","01","2000","2000","Female","F",269,218838,122.9
,"55-64 years","55-64","Alabama","01","2000","2000","Male","M",592,196694,301.0
,"55-64 years","55-64","Alabama","01","2001","2001","Female","F",263,223539,117.7
,"55-64 years","55-64","Alabama","01","2001","2001","Male","M",571,201485,283.4
,"55-64 years","55-64","Alabama","01","2002","2002","Female","F",273,234530,116.4
,"55-64 years","55-64","Alabama","01","2002","2002","Male","M",577,212993,270.9
,"55-64 years","55-64","Alabama","01","2003","2003","Female","F",245,243415,100.7
,"55-64 years","55-64","Alabama","01","2003","2003","Male","M",540,222255,243.0
,"55-64 years","55-64","Alabama","01","2004","2004","Female","F",241,253296,95.1
,"55-64 years","55-64","Alabama","01","2004","2004","Male","M",521,232067,224.5
,"55-64 years","55-64","Alabama","01","2005","2005","Female","F",258,263210,98.0
,"55-64 years","55-64","Alabama","01","2005","2005","Male","M",557,241277,230.9
,"55-64 years","55-64","Alabama","01","2006","2006","Female","F",227,273519,83.0
,"55-64 years","55-64","Alabama","01","2006","2006","Male","M",566,250793,225.7
,"55-64 years","55-64","Alabama","01","2007","2007","Female","F",236,282783,83.5
,"55-64 years","55-64","Alabama","01","2007","2007","Male","M",582,259292,224.5
,"55-64 years","55-64","Alabama","01","2008","2008","Female","F",238,290035,82.1
,"55-64 years","55-64","Alabama","01","2008","2008","Male","M",551,266305,206.9
,"55-64 years","55-64","Alabama","01","2009","2009","Female","F",244,298994,81.6
,"55-64 years","55-64","Alabama","01","2009","2009","Male","M",612,273893,223.4
,"55-64 years","55-64","Alabama","01","2010","2010","Female","F",246,306797,80.2
,"55-64 years","55-64","Alabama","01","2010","2010","Male","M",561,281236,199.5
,"55-64 years","55-64","Alabama","01","2011","2011","Female","F",258,318639,81.0
,"55-64 years","55-64","Alabama","01","2011","2011","Male","M",646,291585,221.5
,"55-64 years","55-64","Alabama","01","2012","2012","Female","F",248,321543,77.1
,"55-64 years","55-64","Alabama","01","2012","2012","Male","M",553,293865,188.2
,"55-64 years","55-64","Alabama","01","2013","2013","Female","F",234,325850,71.8
,"55-64 years","55-64","Alabama","01","2013","2013","Male","M",592,296949,199.4
,"55-64 years","55-64","Alabama","01","2014","2014","Female","F",243,329505,73.7
,"55-64 years","55-64","Alabama","01","2014","2014","Male","M",583,299971,194.4
,"55-64 years","55-64","Alabama","01","2015","2015","Female","F",233,334123,69.7
,"55-64 years","55-64","Alabama","01","2015","2015","Male","M",599,303874,197.1
,"55-64 years","55-64","Alabama","01","2016","2016","Female","F",271,337993,80.2
,"55-64 years","55-64","Alabama","01","2016","2016","Male","M",566,307099,184.3
,"55-64 years","55-64","Alabama","01","2017","2017","Female","F",219,341133,64.2
,"55-64 years","55-64","Alabama","01","2017","2017","Male","M",635,309412,205.2
,"55-64 years","55-64","Alabama","01","2018","2018","Female","F",239,343624,69.6
,"55-64 years","55-64","Alabama","01","2018","2018","Male","M",632,311555,202.9
,"55-64 years","55-64","Alabama","01","2019","2019","Female","F",247,344792,71.6
,"55-64 years","55-64","Alabama","01","2019","2019","Male","M",538,312875,172.0
,"55-64 years","55-64","Alabama","01","2020","2020","Female","F",261,344359,75.8
,"55-64 years","55-64","Alabama","01","2020","2020","Male","M",608,312922,194.3
,"55-64 years","55-64","Alaska","02","1999","1999","Female","F",17,20168,Unreliable
,"55-64 years","55-64","Alaska","02","1999","1999","Male","M",46,23173,198.5
,"55-64 years","55-64","Alaska","02","2000","2000","Female","F",19,20844,Unreliable
,"55-64 years","55-64","Alaska","02","2000","2000","Male","M",51,23906,213.3
,"55-64 years","55-64","Alaska","02","2001","2001","Female","F",12,22200,Unreliable
,"55-64 years","55-64","Alaska","02","2001","2001","Male","M",46,25443,180.8
,"55-64 years","55-64","Alaska","02","2002","2002","Female","F",15,24370,Unreliable
,"55-64 years","55-64","Alaska","02","2002","2002","Male","M",70,28058,249.5
,"55-64 years","55-64","Alaska","02","2003","2003","Female","F",17,26162,Unreliable
,"55-64 years","55-64","Alaska","02","2003","2003","Male","M",47,30106,156.1
,"55-64 years","55-64","Alaska","02","2004","2004","Female","F",21,28370,74.0
,"55-64 years","55-64","Alaska","02","2004","2004","Male","M",52,32618,159.4
,"55-64 years","55-64","Alaska","02","2005","2005","Female","F",16,30403,Unreliable
,"55-64 years","55-64","Alaska","02","2005","2005","Male","M",66,35104,188.0
,"55-64 years","55-64","Alaska","02","2006","2006","Female","F",15,32349,Unreliable
,"55-64 years","55-64","Alaska","02","2006","2006","Male","M",41,37404,109.6
,"55-64 years","55-64","Alaska","02","2007","2007","Female","F",12,34318,Unreliable
,"55-64 years","55-64","Alaska","02","2007","2007","Male","M",59,39361,149.9
,"55-64 years","55-64","Alaska","02","2008","2008","Female","F",18,36348,Unreliable
,"55-64 years","55-64","Alaska","02","2008","2008","Male","M",50,41619,120.1
,"55-64 years","55-64","Alaska","02","2009","2009","Female","F",13,38763,Unreliable
,"55-64 years","55-64","Alaska","02","2009","2009","Male","M",83,44312,187.3
,"55-64 years","55-64","Alaska","02","2010","2010","Female","F",23,40284,57.1
,"55-64 years","55-64","Alaska","02","2010","2010","Male","M",75,45625,164.4
,"55-64 years","55-64","Alaska","02","2011","2011","Female","F",26,42894,60.6
,"55-64 years","55-64","Alaska","02","2011","2011","Male","M",100,47991,208.4
,"55-64 years","55-64","Alaska","02","2012","2012","Female","F",19,44158,Unreliable
,"55-64 years","55-64","Alaska","02","2012","2012","Male","M",70,48658,143.9
,"55-64 years","55-64","Alaska","02","2013","2013","Female","F",18,44312,Unreliable
,"55-64 years","55-64","Alaska","02","2013","2013","Male","M",68,48508,140.2
,"55-64 years","55-64","Alaska","02","2014","2014","Female","F",25,44639,56.0
,"55-64 years","55-64","Alaska","02","2014","2014","Male","M",85,48411,175.6
,"55-64 years","55-64","Alaska","02","2015","2015","Female","F",26,45160,57.6
,"55-64 years","55-64","Alaska","02","2015","2015","Male","M",91,48464,187.8
,"55-64 years","55-64","Alaska","02","2016","2016","Female","F",26,46100,56.4
,"55-64 years","55-64","Alaska","02","2016","2016","Male","M",100,49222,203.2
,"55-64 years","55-64","Alaska","02","2017","2017","Female","F",30,46245,64.9
,"55-64 years","55-64","Alaska","02","2017","2017","Male","M",74,49121,150.6
,"55-64 years","55-64","Alaska","02","2018","2018","Female","F",20,45975,43.5
,"55-64 years","55-64","Alaska","02","2018","2018","Male","M",89,48627,183.0
,"55-64 years","55-64","Alaska","02","2019","2019","Female","F",21,45269,46.4
,"55-64 years","55-64","Alaska","02","2019","2019","Male","M",78,48070,162.3
,"55-64 years","55-64","Alaska","02","2020","2020","Female","F",30,44296,67.7
,"55-64 years","55-64","Alaska","02","2020","2020","Male","M",86,47240,182.0
,"55-64 years","55-64","Arizona","04","1999","1999","Female","F",243,224305,108.3
,"55-64 years","55-64","Arizona","04","1999","1999","Male","M",589,203442,289.5
,"55-64 years","55-64","Arizona","04","2000","2000","Female","F",229,231962,98.7
,"55-64 years","55-64","Arizona","04","2000","2000","Male","M",545,210410,259.0
,"55-64 years","55-64","Arizona","04","2001","2001","Female","F",204,243300,83.8
,"55-64 years","55-64","Arizona","04","2001","2001","Male","M",596,221049,269.6
,"55-64 years","55-64","Arizona","04","2002","2002","Female","F",210,259998,80.8
,"55-64 years","55-64","Arizona","04","2002","2002","Male","M",632,236953,266.7
,"55-64 years","55-64","Arizona","04","2003","2003","Female","F",222,276088,80.4
,"55-64 years","55-64","Arizona","04","2003","2003","Male","M",598,251298,238.0
,"55-64 years","55-64","Arizona","04","2004","2004","Female","F",239,292897,81.6
,"55-64 years","55-64","Arizona","04","2004","2004","Male","M",643,266773,241.0
,"55-64 years","55-64","Arizona","04","2005","2005","Female","F",240,312274,76.9
,"55-64 years","55-64","Arizona","04","2005","2005","Male","M",688,284720,241.6
,"55-64 years","55-64","Arizona","04","2006","2006","Female","F",229,331379,69.1
,"55-64 years","55-64","Arizona","04","2006","2006","Male","M",684,301884,226.6
,"55-64 years","55-64","Arizona","04","2007","2007","Female","F",244,345568,70.6
,"55-64 years","55-64","Arizona","04","2007","2007","Male","M",630,314829,200.1
,"55-64 years","55-64","Arizona","04","2008","2008","Female","F",225,357174,63.0
,"55-64 years","55-64","Arizona","04","2008","2008","Male","M",703,325075,216.3
,"55-64 years","55-64","Arizona","04","2009","2009","Female","F",209,369577,56.6
,"55-64 years","55-64","Arizona","04","2009","2009","Male","M",670,335251,199.9
,"55-64 years","55-64","Arizona","04","2010","2010","Female","F",227,380609,59.6
,"55-64 years","55-64","Arizona","04","2010","2010","Male","M",700,345619,202.5
,"55-64 years","55-64","Arizona","04","2011","2011","Female","F",259,396693,65.3
,"55-64 years","55-64","Arizona","04","2011","2011","Male","M",721,359537,200.5
,"55-64 years","55-64","Arizona","04","2012","2012","Female","F",260,401281,64.8
,"55-64 years","55-64","Arizona","04","2012","2012","Male","M",703,363552,193.4
,"55-64 years","55-64","Arizona","04","2013","2013","Female","F",217,407830,53.2
,"55-64 years","55-64","Arizona","04","2013","2013","Male","M",684,369020,185.4
,"55-64 years","55-64","Arizona","04","2014","2014","Female","F",232,417103,55.6
,"55-64 years","55-64","Arizona","04","2014","2014","Male","M",648,376811,172.0
,"55-64 years","55-64","Arizona","04","2015","2015","Female","F",254,427277,59.4
,"55-64 years","55-64","Arizona","04","2015","2015","Male","M",726,386424,187.9
,"55-64 years","55-64","Arizona","04","2016","2016","Female","F",267,436323,61.2
