"Notes","Ten-Year Age Groups","Ten-Year Age Groups Code","Residence State","Residence State Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"55-64 years","55-64","Alabama","01","2021","2021","Female","F",238,348142,68.4,59.7,77.0
,"55-64 years","55-64","Alabama","01","2021","2021","Male","M",655,324231,202.0,186.5,217.5
,"55-64 years","55-64","Alabama","01","2022","2022","Female","F",222,339944,65.3,56.7,73.9
,"55-64 years","55-64","Alabama","01","2022","2022","Male","M",548,318486,172.1,157.7,186.5
,"55-64 years","55-64","Alabama","01","2023","2023","Female","F",195,338419,57.6,49.5,65.7
,"55-64 years","55-64","Alabama","01","2023","2023","Male","M",484,315647,153.3,139.7,167.0
,"55-64 years","55-64","Alabama","01","2024","2024","Female","F",187,336308,55.6,47.6,63.6
,"55-64 years","55-64","Alabama","01","2024","2024","Male","M",449,313480,143.2,130.0,156.5
,"55-64 years","55-64","Alabama","01","2025 (provisional)","2025","Female","F",198,336308,58.9,50.7,67.1
,"55-64 years","55-64","Alabama","01","2025 (provisional)","2025","Male","M",448,313480,142.9,129.7,156.1
,"55-64 years","55-64","Alaska","02","2021","2021","Female","F",20,43150,46.3,28.3,71.6
,"55-64 years","55-64","Alaska","02","2021","2021","Male","M",87,47226,184.2,147.6,227.2
,"55-64 years","55-64","Alaska","02","2022","2022","Female","F",27,41431,65.2,42.9,94.8
,"55-64 years","55-64","Alaska","02","2022","2022","Male","M",92,45810,200.8,161.9,246.3
,"55-64 years","55-64","Alaska","02","2023","2023","Female","F",23,40587,56.7,35.9,85.0
,"55-64 years","55-64","Alaska","02","2023","2023","Male","M",80,44577,179.5,142.3,223.4
,"55-64 years","55-64","Alaska","02","2024","2024","Female","F",12,39767,30.2,15.6,52.7
,"55-64 years","55-64","Alaska","02","2024","2024","Male","M",68,43769,155.4,120.6,197.0
,"55-64 years","55-64","Alaska","02","2025 (provisional)","2025","Female","F",21,39767,52.8,32.7,80.7
,"55-64 years","55-64","Alaska","02","2025 (provisional)","2025","Male","M",56,43769,127.9,96.6,166.1
,"55-64 years","55-64","Arizona","04","2021","2021","Female","F",231,452647,51.0,44.5,57.6
,"55-64 years","55-64","Arizona","04","2021","2021","Male","M",725,427238,169.7,157.3,182.0
,"55-64 years","55-64","Arizona","04","2022","2022","Female","F",238,446674,53.3,46.5,60.1
,"55-64 years","55-64","Arizona","04","2022","2022","Male","M",709,425289,166.7,154.4,179.0
,"55-64 years","55-64","Arizona","04","2023","2023","Female","F",239,451318,53.0,46.2,59.7
,"55-64 years","55-64","Arizona","04","2023","2023","Male","M",653,428260,152.5,140.8,164.2
,"55-64 years","55-64","Arizona","04","2024","2024","Female","F",244,451811,54.0,47.2,60.8
,"55-64 years","55-64","Arizona","04","2024","2024","Male","M",667,429219,155.4,143.6,167.2
,"55-64 years","55-64","Arizona","04","2025 (provisional)","2025","Female","F",200,451811,44.3,38.1,50.4
,"55-64 years","55-64","Arizona","04","2025 (provisional)","2025","Male","M",608,429219,141.7,130.4,152.9
,"55-64 years","55-64","Arkansas","05","2021","2021","Female","F",266,196927,135.1,118.8,151.3
,"55-64 years","55-64","Arkansas","05","2021","2021","Male","M",598,187969,318.1,292.6,343.6
,"55-64 years","55-64","Arkansas","05","2022","2022","Female","F",218,193058,112.9,97.9,127.9
,"55-64 years","55-64","Arkansas","05","2022","2022","Male","M",591,185254,319.0,293.3,344.7
,"55-64 years","55-64","Arkansas","05","2023","2023","Female","F",234,191999,121.9,106.3,137.5
,"55-64 years","55-64","Arkansas","05","2023","2023","Male","M",487,183592,265.3,241.7,288.8
,"55-64 years","55-64","Arkansas","05","2024","2024","Female","F",187,190581,98.1,84.1,112.2
,"55-64 years","55-64","Arkansas","05","2024","2024","Male","M",460,181945,252.8,229.7,275.9
,"55-64 years","55-64","Arkansas","05","2025 (provisional)","2025","Female","F",210,190581,110.2,95.3,125.1
,"55-64 years","55-64","Arkansas","05","2025 (provisional)","2025","Male","M",466,181945,256.1,232.9,279.4
,"55-64 years","55-64","California","06","2021","2021","Female","F",1246,2411891,51.7,48.8,54.5
,"55-64 years","55-64","California","06","2021","2021","Male","M",3940,2365841,166.5,161.3,171.7
,"55-64 years","55-64","California","06","2022","2022","Female","F",1178,2357156,50.0,47.1,52.8
,"55-64 years","55-64","California","06","2022","2022","Male","M",3518,2330153,151.0,146.0,156.0
,"55-64 years","55-64","California","06","2023","2023","Female","F",1047,2358266,44.4,41.7,47.1
,"55-64 years","55-64","California","06","2023","2023","Male","M",3340,2318062,144.1,139.2,149.0
,"55-64 years","55-64","California","06","2024","2024","Female","F",1036,2358271,43.9,41.3,46.6
,"55-64 years","55-64","California","06","2024","2024","Male","M",3177,2319014,137.0,132.2,141.8
,"55-64 years","55-64","California","06","2025 (provisional)","2025","Female","F",932,2358271,39.5,37.0,42.1
,"55-64 years","55-64","California","06","2025 (provisional)","2025","Male","M",2983,2319014,128.6,124.0,133.2
,"55-64 years","55-64","Colorado","08","2021","2021","Female","F",143,354867,40.3,33.7,46.9
,"55-64 years","55-64","Colorado","08","2021","2021","Male","M",402,347352,115.7,104.4,127.0
,"55-64 years","55-64","Colorado","08","2022","2022","Female","F",132,344628,38.3,31.8,44.8
,"55-64 years","55-64","Colorado","08","2022","2022","Male","M",455,339228,134.1,121.8,146.5
,"55-64 years","55-64","Colorado","08","2023","2023","Female","F",119,341432,34.9,28.6,41.1
,"55-64 years","55-64","Colorado","08","2023","2023","Male","M",352,335193,105.0,94.0,116.0
,"55-64 years","55-64","Colorado","08","2024","2024","Female","F",100,338004,29.6,23.8,35.4
,"55-64 years","55-64","Colorado","08","2024","2024","Male","M",339,333541,101.6,90.8,112.5
,"55-64 years","55-64","Colorado","08","2025 (provisional)","2025","Female","F",105,338004,31.1,25.1,37.0
,"55-64 years","55-64","Colorado","08","2025 (provisional)","2025","Male","M",336,333541,100.7,90.0,111.5
,"55-64 years","55-64","Connecticut","09","2021","2021","Female","F",122,266703,45.7,37.6,53.9
,"55-64 years","55-64","Connecticut","09","2021","2021","Male","M",399,254289,156.9,141.5,172.3
,"55-64 years","55-64","Connecticut","09","2022","2022","Female","F",125,264509,47.3,39.0,55.5
,"55-64 years","55-64","Connecticut","09","2022","2022","Male","M",352,251227,140.1,125.5,154.7
,"55-64 years","55-64","Connecticut","09","2023","2023","Female","F",105,260500,40.3,32.6,48.0
,"55-64 years","55-64","Connecticut","09","2023","2023","Male","M",306,246341,124.2,110.3,138.1
,"55-64 years","55-64","Connecticut","09","2024","2024","Female","F",106,258404,41.0,33.2,48.8
,"55-64 years","55-64","Connecticut","09","2024","2024","Male","M",283,243674,116.1,102.6,129.7
,"55-64 years","55-64","Connecticut","09","2025 (provisional)","2025","Female","F",103,258404,39.9,32.2,47.6
,"55-64 years","55-64","Connecticut","09","2025 (provisional)","2025","Male","M",280,243674,114.9,101.4,128.4
,"55-64 years","55-64","Delaware","10","2021","2021","Female","F",44,75601,58.2,42.3,78.1
,"55-64 years","55-64","Delaware","10","2021","2021","Male","M",119,67917,175.2,143.7,206.7
,"55-64 years","55-64","Delaware","10","2022","2022","Female","F",52,75472,68.9,51.5,90.4
,"55-64 years","55-64","Delaware","10","2022","2022","Male","M",95,68024,139.7,113.0,170.7
,"55-64 years","55-64","Delaware","10","2023","2023","Female","F",53,75781,69.9,52.4,91.5
,"55-64 years","55-64","Delaware","10","2023","2023","Male","M",120,67598,177.5,145.8,209.3
,"55-64 years","55-64","Delaware","10","2024","2024","Female","F",43,75349,57.1,41.3,76.9
,"55-64 years","55-64","Delaware","10","2024","2024","Male","M",84,67070,125.2,99.9,155.1
,"55-64 years","55-64","Delaware","10","2025 (provisional)","2025","Female","F",48,75349,63.7,47.0,84.5
,"55-64 years","55-64","Delaware","10","2025 (provisional)","2025","Male","M",94,67070,140.2,113.3,171.5
,"55-64 years","55-64","District of Columbia","11","2021","2021","Female","F",43,33867,127.0,91.9,171.0
,"55-64 years","55-64","District of Columbia","11","2021","2021","Male","M",97,32149,301.7,244.7,368.1
,"55-64 years","55-64","District of Columbia","11","2022","2022","Female","F",36,32582,110.5,77.4,153.0
,"55-64 years","55-64","District of Columbia","11","2022","2022","Male","M",81,31490,257.2,204.3,319.7
,"55-64 years","55-64","District of Columbia","11","2023","2023","Female","F",23,32355,71.1,45.1,106.7
