disease_category,age_group,state,gender,changepoint_year,slope1,slope2,change_in_slope,slope2_p_value,significance_label,mean_rate_last_5y,n_years_used,first_year
ischemic,85+ years,District of Columbia,Male,2003,0.0841662,-0.4131545,-0.4973207,0.0000000,significant_decrease,4.63889519,27,1999
ischemic,85+ years,Alaska,Male,2021,-0.1172619,-0.3946989,-0.2774369,0.1364232,no_significant_change,3.981406622,27,1999
ischemic,85+ years,District of Columbia,Total,2003,-0.0478909,-0.3794302,-0.3315393,0.0000000,significant_decrease,3.58338844,27,1999
ischemic,85+ years,New York,Female,2013,-0.5688200,-0.3048793,0.2639407,0.0000000,significant_decrease,5.659978429,27,1999
ischemic,85+ years,New York,Total,2013,-0.5625105,-0.2906431,0.2718674,0.0000000,significant_decrease,6.314790002,27,1999
ischemic,85+ years,New Jersey,Male,2011,-0.4654733,-0.2898131,0.1756602,0.0000000,significant_decrease,5.801130442,27,1999
ischemic,85+ years,New York,Male,2013,-0.5664939,-0.2741141,0.2923799,0.0000000,significant_decrease,7.542867937,27,1999
ischemic,85+ years,New Jersey,Total,2009,-0.5616342,-0.2716503,0.2899838,0.0000000,significant_decrease,4.769626813,27,1999
ischemic,85+ years,New Jersey,Female,2009,-0.6010349,-0.2626964,0.3383386,0.0000000,significant_decrease,4.214372993,27,1999
ischemic,85+ years,Delaware,Female,2009,-0.5447068,-0.2315592,0.3131476,0.0000000,significant_decrease,4.37401857,27,1999
ischemic,85+ years,District of Columbia,Female,2017,-0.3915970,-0.2299792,0.1616178,0.0029982,significant_decrease,3.031137079,27,1999
ischemic,85+ years,Connecticut,Male,2007,-0.5114785,-0.2265897,0.2848888,0.0000000,significant_decrease,4.499553122,27,1999
ischemic,85+ years,Connecticut,Total,2007,-0.5164530,-0.2122697,0.3041833,0.0000000,significant_decrease,3.519797448,27,1999
ischemic,85+ years,California,Male,2010,-0.5636409,-0.2101146,0.3535263,0.0000000,significant_decrease,5.966963311,27,1999
ischemic,85+ years,Illinois,Male,2010,-0.5302974,-0.2055715,0.3247260,0.0000000,significant_decrease,5.221218508,27,1999
ischemic,85+ years,Pennsylvania,Female,2009,-0.5101750,-0.2052084,0.3049666,0.0000000,significant_decrease,3.95839038,27,1999
ischemic,85+ years,Maryland,Total,2011,-0.4347261,-0.2035651,0.2311610,0.0000000,significant_decrease,4.694563366,27,1999
ischemic,85+ years,Illinois,Female,2010,-0.5080359,-0.2035554,0.3044805,0.0000000,significant_decrease,3.212985573,27,1999
